InvoiceNo,CustomerID,Date,ProductCategory,Quantity,UnitPrice,DiscountApplied,ReviewRating,IsFirstPurchase,MarketingChannel,Country,TimeOnSite,ShippingCost,ItemsInCart,PreviousSpending,BrowsingSessions,TotalAmount,,,,,,
INV107925,CUST1141,5/31/2023,Electronics,10,110.22,17.9,3,1,Referral,USA,367.9,2.14,13,0,1,907.05,,,,,,
INV100585,CUST1558,5/31/2023,Home,10,76.37,50.4,5,1,Ads,Germany,463.5,12.55,11,0,1,391.35,,,,,,
INV104239,CUST1870,5/31/2023,Sports,7,44.47,34.5,1,0,Email,Australia,131.2,16.32,9,400.85,2,220.21,,,,,,
INV103232,CUST1900,5/31/2023,Home,5,44.72,0,1,1,Ads,Germany,217.5,11.69,5,0,3,235.29,,,,,,
INV102433,CUST1377,5/31/2023,Electronics,14,147.46,42.1,,0,Organic,Germany,441.1,5.48,16,507.58,4,1200.79,,,,,,
INV103386,CUST1248,5/31/2023,Clothing,10,39.6,47.8,4,1,nan,Canada,408.2,7.96,12,0,4,214.67,,,,,,
INV103416,CUST1574,5/31/2023,Clothing,13,35.95,13.2,,0,Organic,USA,325.8,10.75,16,370.96,1,416.41,,,,,,
INV105279,CUST1879,5/31/2023,Sports,6,41.96,5,,0,Email,USA,369.2,6.99,7,86.94,4,246.16,,,,,,
INV101008,CUST1431,5/31/2023,Home,16,52.7,28.8,,0,Email,Germany,545.4,20.06,16,368.21,2,620.42,,,,,,
INV104962,CUST1981,5/31/2023,Electronics,15,132.97,21.5,,0,Referral,USA,415.5,9.19,15,246.74,4,1574.91,,,,,,
INV103408,CUST1868,5/31/2023,Beauty,10,25.93,26.7,,0,Organic,USA,350,12.56,11,311.3,7,202.63,,,,,,
INV103923,CUST1964,5/31/2023,Home,11,51.82,0,3,0,Referral,Australia,370.5,0,12,224.47,3,570.02,,,,,,
INV101816,CUST1334,5/31/2023,Home,10,51.29,6.6,3,0,Referral,USA,331.7,2.21,10,279.26,3,481.26,,,,,,
INV108634,CUST1861,5/31/2023,Clothing,13,37.81,11.7,,0,Ads,UK,378.7,12.75,13,395.42,4,446.77,,,,,,
INV105759,CUST1951,5/31/2023,Home,3,37.23,0,4,1,Referral,USA,137.9,4.23,3,0,1,115.92,,,,,,
INV102490,CUST1396,5/31/2023,Electronics,5,90.83,7.7,3,1,Organic,USA,238.8,8.05,6,0,3,427.23,,,,,,
INV101941,CUST1974,5/31/2023,Clothing,7,41.59,9.4,4,1,nan,USA,284.5,9.49,8,0,1,273.25,,,,,,
INV108192,CUST1523,5/31/2023,Sports,10,53.03,43.1,3,1,Email,USA,410.6,26.51,11,0,2,328.25,,,,,,
INV101227,CUST1196,5/31/2023,Clothing,9,33.27,44.5,3,0,Ads,Germany,259.1,6.89,9,359.01,3,173.07,,,,,,
INV102069,CUST1075,5/31/2023,Beauty,6,19.63,13.2,4,0,Organic,USA,208.6,3.06,8,280.08,5,105.29,,,,,,
INV102868,CUST1450,5/31/2023,Clothing,10,35.01,33.8,4,0,Email,USA,255.5,21.27,12,434.13,4,253.04,,,,,,
INV107016,CUST1863,5/31/2023,Clothing,11,56.72,52.1,,0,Email,USA,420.3,2.04,11,242.85,1,300.9,,,,,,
INV104631,CUST1442,5/31/2023,Clothing,11,25.92,19.1,,0,Social,USA,295.9,7.33,11,384.07,1,237.99,,,,,,
INV107687,CUST1142,5/31/2023,Toys,7,14.4,0,1,1,Email,France,273.5,7.21,9,0,3,108.01,,,,,,
INV108896,CUST1311,5/31/2023,Clothing,7,32.94,0,5,0,Organic,UK,249.5,4.83,8,318.92,5,235.41,,,,,,
INV104402,CUST1200,5/31/2023,Home,16,78.3,22.1,4,0,Organic,Germany,438.2,4.57,16,348.55,4,980.5,,,,,,
INV102016,CUST1015,5/31/2023,Clothing,9,35.14,8.1,,1,Ads,UK,301.7,17.98,9,0,2,308.62,,,,,,
INV102849,CUST1771,6/1/2023,Electronics,21,249.54,0,3,0,Ads,Germany,,10.8,7,195.49,4,5251.14,,,,,,
INV106919,CUST1841,6/1/2023,Clothing,9,29.28,0,,0,Ads,Germany,368.1,0,9,392.16,1,263.52,,,,,,
INV106967,CUST1443,6/1/2023,Electronics,7,91.5,0,2,1,nan,USA,371.8,7.9,8,0,2,648.4,,,,,,
INV104373,CUST1533,6/1/2023,Sports,4,49.04,54.7,3,0,Referral,Germany,54,3.32,4,274.8,2,92.18,,,,,,
INV106926,CUST1625,6/1/2023,Clothing,7,46.3,46.3,5,0,Referral,USA,292.7,7.13,9,196.16,4,181.17,,,,,,
INV102271,CUST1607,6/1/2023,Electronics,5,118.37,27,,1,Social,USA,281,11.76,7,0,2,443.81,,,,,,
INV103915,CUST1641,6/1/2023,Clothing,8,42.84,37,2,0,Ads,USA,391.4,12.06,8,250.94,2,227.97,,,,,,
INV108741,CUST1660,6/1/2023,Clothing,7,31.58,0,,1,Social,Canada,369,6.35,7,0,5,227.41,,,,,,
INV104416,CUST1337,6/1/2023,Beauty,7,39.5,44,5,1,nan,USA,380,12.2,8,0,2,167.04,,,,,,
INV103575,CUST1190,6/1/2023,Home,7,92.66,49.5,2,1,Email,USA,385.4,12.76,7,0,5,340.31,,,,,,
INV107461,CUST1562,6/1/2023,Beauty,11,28.28,0,4,0,Organic,Australia,491.6,6.98,11,196.39,2,318.06,,,,,,
INV104544,CUST1108,6/1/2023,Electronics,7,140.28,54,2,0,Email,France,283.1,9.68,10,178.55,2,461.38,,,,,,
INV104250,CUST1407,6/1/2023,Electronics,5,156.01,41.2,4,1,Email,Germany,274.9,8.46,6,0,2,467.13,,,,,,
INV104685,CUST1722,6/1/2023,Clothing,5,37.95,43.5,4,1,Ads,France,324.1,6.42,7,0,4,113.63,,,,,,
INV107944,CUST1563,6/1/2023,Electronics,11,88.27,0,3,0,Referral,UK,459,6.36,13,422.34,3,977.33,,,,,,
INV103780,CUST1915,6/1/2023,Beauty,9,39.32,46.8,3,0,Referral,USA,276.9,14.93,10,295.35,1,203.19,,,,,,
INV106020,CUST1150,6/1/2023,Electronics,12,112.84,0,,0,Email,USA,472.9,10.2,13,438.9,3,1364.28,,,,,,
INV108023,CUST1415,6/1/2023,Beauty,11,22.14,0,4,0,Referral,USA,268.6,19.01,11,343.75,4,262.55,,,,,,
INV106254,CUST1799,6/1/2023,Sports,36,132.16,9.9,5,0,Email,UK,314.6,12.38,12,372.65,2,4299.12,,,,,,
INV100316,CUST1234,6/1/2023,Home,6,63.72,24.4,,1,Email,USA,302.8,9.77,7,0,3,298.8,,,,,,
INV101076,CUST1707,6/1/2023,Toys,10,16.6,0,3,1,Social,UK,591.8,7.38,12,0,3,173.38,,,,,,
INV102548,CUST1701,6/1/2023,Beauty,7,31.29,38.6,4,1,Email,France,379.5,7.06,8,0,4,141.54,,,,,,
INV104515,CUST1718,6/1/2023,Electronics,6,105.91,0,5,1,Ads,USA,394.8,3.68,8,0,3,639.14,,,,,,
INV101498,CUST1294,6/2/2023,Clothing,5,52.77,37,4,1,Organic,USA,283.4,12.38,7,0,3,178.61,,,,,,
INV103234,CUST1509,6/2/2023,Clothing,7,37.43,16.8,4,0,Referral,UK,352.4,15.64,8,170.89,6,233.63,,,,,,
INV102845,CUST1556,6/2/2023,Beauty,11,20.48,6.3,3,0,Social,Australia,436.5,10.37,11,217.59,1,221.46,,,,,,
INV105233,CUST1767,6/2/2023,Home,6,37.31,21.4,3,0,Organic,France,146.4,8.65,7,283.17,1,184.6,,,,,,
INV108806,CUST1244,6/2/2023,Clothing,9,62.38,45.8,3,1,Email,Canada,388.7,8.17,9,0,4,312.46,,,,,,
INV106910,CUST1534,6/2/2023,Clothing,6,29.74,0,5,0,Ads,UK,229.6,11.08,6,99.43,5,189.52,,,,,,
INV108375,CUST1351,6/2/2023,Home,11,78.18,35.5,4,0,Email,USA,470.2,3.39,11,323.9,1,558.08,,,,,,
INV103292,CUST1998,6/2/2023,Beauty,3,15.39,0,3,1,Organic,USA,252.3,19.65,3,0,3,65.82,,,,,,
INV103298,CUST1571,6/2/2023,Home,6,36.55,0,3,1,Organic,UK,282.7,3.31,7,0,2,222.61,,,,,,
INV104425,CUST1608,6/2/2023,Electronics,5,164.47,47.3,5,1,Ads,Germany,,14.13,9,0,7,447.51,,,,,,
INV103677,CUST1318,6/2/2023,Clothing,9,31.7,0,,0,Referral,USA,375.1,6.84,9,213.13,4,292.14,,,,,,
INV107313,CUST1848,6/2/2023,Clothing,4,40.54,38.5,4,1,Email,UK,140.2,6.08,5,0,4,105.81,,,,,,
INV100994,CUST1266,6/2/2023,Home,8,61.48,38.1,4,0,nan,USA,247.1,13.64,8,220.44,5,318.09,,,,,,
INV104842,CUST1331,6/2/2023,Electronics,11,108.92,0,,0,Email,USA,377.1,11.66,11,366.48,1,1209.78,,,,,,
INV107028,CUST1214,6/2/2023,Electronics,10,109.75,10.2,,0,Ads,USA,400.1,12.37,10,328.09,2,997.92,,,,,,
INV107109,CUST1574,6/2/2023,Clothing,11,20.96,0,4,0,Organic,Germany,185.9,3.04,14,470.51,1,233.6,,,,,,
INV102406,CUST1658,6/2/2023,Beauty,6,38.51,37.4,4,1,Ads,USA,286.3,3.7,6,0,6,148.34,,,,,,
INV101739,CUST1985,6/2/2023,Clothing,10,52.84,53.9,3,0,Email,UK,366.7,6.32,10,249.09,1,249.91,,,,,,
INV107124,CUST1426,6/2/2023,Clothing,4,20.16,0,2,0,Social,USA,30,21.84,6,237.54,4,102.48,,,,,,
INV100845,CUST1980,6/2/2023,Clothing,8,26.75,0,2,0,Email,USA,349.3,13.43,8,267.01,5,227.43,,,,,,
INV107298,CUST1007,6/2/2023,Electronics,9,106.67,27.2,2,0,Organic,Canada,377.1,17.21,10,131.51,7,716.11,,,,,,
INV103308,CUST1041,6/2/2023,Clothing,6,34.65,17.6,4,0,Organic,Canada,131.3,4.89,6,324.89,6,176.2,,,,,,
INV108457,CUST1333,6/2/2023,Sports,7,26.59,0,4,0,Email,Germany,321,7.92,7,212.56,4,194.05,,,,,,
INV102651,CUST1053,6/2/2023,Clothing,5,27.19,9.9,,0,Email,USA,218.8,11.96,8,144.76,2,134.45,,,,,,
INV108201,CUST1818,6/2/2023,Electronics,11,84.46,12.7,3,0,Email,USA,340,9.46,12,358.46,3,820.53,,,,,,
INV100521,CUST1541,6/3/2023,Electronics,8,140.57,38.2,5,0,Social,Germany,322.6,12.78,9,218.67,4,707.76,,,,,,
INV108278,CUST1153,6/3/2023,Clothing,8,42.72,51.1,5,0,Ads,Canada,484.8,15.17,8,246.29,3,182.29,,,,,,
INV106201,CUST1377,6/3/2023,Electronics,6,84.66,0,3,0,Email,Australia,195.6,8.7,7,180.73,3,516.66,,,,,,
INV104851,CUST1921,6/3/2023,Clothing,7,36.51,0,5,1,Organic,USA,409.7,6.57,7,0,2,262.14,,,,,,
INV107422,CUST1005,6/3/2023,Home,5,69.89,50.1,3,1,Social,UK,287.2,10.26,7,0,3,184.64,,,,,,
INV106212,CUST1381,6/3/2023,Electronics,10,99.46,17.7,,0,Referral,UK,268.5,8.89,10,445.9,1,827.45,,,,,,
INV100870,CUST1736,6/3/2023,Clothing,9,36.82,27.3,5,1,Email,Canada,458.8,16.93,10,0,2,257.84,,,,,,
INV105456,CUST1416,6/3/2023,Sports,6,30.3,0,,0,Referral,Germany,148.1,13.56,7,167.06,6,195.36,,,,,,
INV100607,CUST1255,6/3/2023,Clothing,13,40.45,0,2,0,Ads,France,593.9,2.05,14,313.27,3,527.9,,,,,,
INV104670,CUST1320,6/3/2023,Beauty,6,25.51,20.1,4,1,Organic,USA,,6.93,7,0,1,129.22,,,,,,
INV102459,CUST1329,6/3/2023,Sports,4,29.45,0,2,0,Referral,USA,151.2,13.37,5,231.63,2,131.17,,,,,,
INV105457,CUST1123,6/3/2023,Beauty,10,39.18,14.4,3,1,Email,USA,492.1,8.97,10,0,2,344.35,,,,,,
INV107838,CUST1234,6/3/2023,Electronics,7,77.74,0,1,0,Organic,Australia,300.6,9.74,7,263.93,4,553.92,,,,,,
INV100223,CUST1934,6/3/2023,Home,9,30.55,0,3,0,Organic,UK,289.4,4.68,11,431.99,3,279.63,,,,,,
INV105809,CUST1906,6/3/2023,Electronics,14,196.9,51.5,3,0,Ads,UK,553.4,7.91,15,291.79,3,1344.86,,,,,,
INV104262,CUST1918,6/3/2023,Electronics,10,162.23,30.7,,0,Email,USA,395.7,11.29,12,207.64,3,1135.54,,,,,,
INV106457,CUST1646,6/3/2023,Clothing,7,50.48,40.4,5,1,Ads,USA,453.7,15.02,7,0,2,225.62,,,,,,
INV104738,CUST1834,6/3/2023,Clothing,10,34.25,23.7,4,1,Ads,Canada,630.1,14.69,11,0,2,276.02,,,,,,
INV106792,CUST1097,6/3/2023,Beauty,3,32.35,32.5,5,1,Email,USA,30,20.56,4,0,3,86.07,,,,,,
INV108553,CUST1782,6/3/2023,Home,12,50.22,0,4,0,nan,USA,351.1,5.89,14,371.03,3,608.53,,,,,,
INV104784,CUST1555,6/3/2023,Clothing,7,22.48,0,5,0,Email,Australia,241.1,7.54,8,351.72,2,164.9,,,,,,
INV104371,CUST1248,6/3/2023,Clothing,8,28.14,12.6,4,0,Email,UK,210,18.1,11,350.69,1,214.85,,,,,,
INV107041,CUST1182,6/3/2023,Clothing,6,29.89,0,4,1,Social,USA,358.7,15.3,6,0,3,194.64,,,,,,
INV104226,CUST1047,6/3/2023,Toys,10,31.47,36.4,3,0,Email,USA,533.4,8.84,11,204.57,3,208.99,,,,,,
INV101658,CUST1908,6/3/2023,Home,3,42.54,0,,1,Referral,Germany,128.1,12.86,4,0,3,140.48,,,,,,
INV108811,CUST1990,6/3/2023,Sports,10,63.69,48,3,0,Email,USA,,5.76,10,260.85,3,336.95,,,,,,
INV100227,CUST1305,6/4/2023,Electronics,11,84.42,0,5,0,nan,UK,400.1,6.54,13,356.02,1,935.16,,,,,,
INV104153,CUST1825,6/4/2023,Home,6,36.47,0,3,0,Referral,UK,333.4,9.18,6,126.06,5,228,,,,,,
INV107464,CUST1562,6/4/2023,Beauty,8,34.62,50.8,2,0,Email,Germany,188.7,2.95,9,436.17,3,139.21,,,,,,
INV100282,CUST1987,6/4/2023,Home,7,53.31,22.9,3,1,Organic,USA,422.4,16.72,7,0,3,304.43,,,,,,
INV104576,CUST1118,6/4/2023,Home,6,69.59,32.3,3,1,Email,UK,360.5,7.12,6,0,3,289.79,,,,,,
INV103843,CUST1959,6/4/2023,Home,11,37.08,0,,0,Email,USA,,12.82,13,261.43,4,420.7,,,,,,
INV104044,CUST1320,6/4/2023,Electronics,2,69.45,0,2,1,Organic,Australia,105.6,11.54,5,0,4,150.44,,,,,,
INV104259,CUST1869,6/4/2023,Clothing,6,31.19,9.4,4,0,Email,Germany,233,11.73,7,217.27,2,181.28,,,,,,
INV109443,CUST1396,6/4/2023,Sports,7,26.6,0,,0,Organic,USA,264.9,8.57,8,279.04,2,194.77,,,,,,
INV109423,CUST1610,6/4/2023,Electronics,9,112.73,22.3,5,0,Organic,France,297,12.08,10,350.53,2,800.4,,,,,,
INV103830,CUST1736,6/4/2023,Electronics,11,92.17,0,,0,Ads,USA,340,12.86,11,318.47,2,1026.73,,,,,,
INV102317,CUST1943,6/4/2023,Electronics,13,113.12,0,4,0,Referral,Germany,550.1,5.2,14,306.99,4,1475.76,,,,,,
INV105957,CUST1379,6/4/2023,Electronics,11,88.04,0,4,0,Email,USA,359.6,12.63,13,247.97,5,981.07,,,,,,
INV104165,CUST1539,6/4/2023,Sports,9,44.11,31.6,4,1,Email,USA,445.8,7.39,11,0,4,278.93,,,,,,
INV109228,CUST1385,6/4/2023,Electronics,5,76.22,13.5,3,1,Referral,UK,225.2,12.72,7,0,4,342.37,,,,,,
INV102319,CUST1882,6/4/2023,Clothing,2,20.54,0,4,1,Referral,USA,226.6,11.56,2,0,1,52.64,,,,,,
INV106130,CUST1310,6/4/2023,Clothing,5,26.39,25.3,5,0,nan,USA,128.1,14.59,6,237.49,3,113.16,,,,,,
INV107537,CUST1287,6/4/2023,Electronics,6,68.45,0,1,0,Ads,Canada,184.2,18.92,8,244.23,2,429.62,,,,,,
INV109032,CUST1740,6/4/2023,Clothing,11,37.55,23.8,,0,Social,USA,329.8,5.28,12,362.49,2,320.02,,,,,,
INV102499,CUST1662,6/4/2023,Clothing,10,25.91,18.8,,0,Email,Germany,,7.07,11,403.86,4,217.46,,,,,,
INV100392,CUST1948,6/4/2023,Beauty,8,36.73,16.7,,0,Social,USA,406.4,12.5,9,169.86,4,257.27,,,,,,
INV106973,CUST1799,6/4/2023,Clothing,14,42.82,16.3,,0,Organic,USA,479.8,13.5,15,445.07,1,515.26,,,,,,
INV105416,CUST1839,6/4/2023,Beauty,7,21.65,10.8,3,1,Referral,USA,395.4,6.11,7,0,2,141.29,,,,,,
INV102924,CUST1652,6/4/2023,Home,8,45.55,0,5,1,Organic,USA,356,13.49,9,0,1,377.89,,,,,,
INV103305,CUST1521,6/4/2023,Beauty,4,15.76,0,3,1,Email,UK,254.6,11.87,5,0,1,74.91,,,,,,
INV104950,CUST1641,6/4/2023,Sports,5,47.85,41.1,1,0,Email,USA,248.5,3.73,6,150.93,3,144.65,,,,,,
INV108308,CUST1260,6/4/2023,Clothing,8,35.2,13.8,3,0,Referral,France,338.4,15.84,9,179.11,1,258.58,,,,,,
INV100622,CUST1242,6/4/2023,Sports,7,35.61,0,3,0,Ads,Australia,253.9,3.92,7,266.58,4,253.19,,,,,,
INV104748,CUST1425,6/4/2023,Clothing,9,28.54,0,4,0,nan,Australia,400.9,15.8,10,200.5,2,272.66,,,,,,
INV100677,CUST1285,6/4/2023,Clothing,6,31.47,0,2,1,Referral,USA,261.6,11.71,6,0,1,200.53,,,,,,
INV102645,CUST1204,6/4/2023,Home,8,65.04,36.6,1,0,nan,USA,235.4,9.35,8,409.77,4,339.23,,,,,,
INV107711,CUST1493,6/5/2023,Electronics,8,74.9,0,4,0,Email,UK,299.9,5.23,9,212.89,2,604.43,,,,,,
INV104403,CUST1468,6/5/2023,Beauty,9,34.81,28.3,3,0,Ads,Germany,281.6,14.55,9,336.71,5,239.18,,,,,,
INV104598,CUST1307,6/5/2023,Home,4,31.18,0,3,1,Referral,France,127.3,9.57,5,0,2,134.29,,,,,,
INV107581,CUST1750,6/5/2023,Home,5,41.73,10.5,2,0,Referral,USA,272.4,15.72,6,217.15,1,202.46,,,,,,
INV109140,CUST1753,6/5/2023,Sports,3,26.95,0,3,1,Email,USA,70.2,5.39,4,0,4,86.24,,,,,,
INV107889,CUST1109,6/5/2023,Electronics,4,79.63,0,5,1,Ads,USA,187.9,11.1,7,0,2,329.62,,,,,,
INV102834,CUST1044,6/5/2023,Clothing,11,49.39,51.4,2,0,Referral,USA,336.1,12.9,14,418.61,2,276.94,,,,,,
INV108078,CUST1989,6/5/2023,Electronics,11,98.37,0,3,0,Ads,USA,450.4,5.56,12,391.14,3,1087.63,,,,,,
INV103939,CUST1484,6/5/2023,Clothing,11,32.59,0,4,0,nan,UK,344.8,7.05,11,347.93,1,365.54,,,,,,
INV107877,CUST1535,6/5/2023,Clothing,8,38.89,28.3,,0,Email,USA,230.9,16.3,9,264.55,4,239.37,,,,,,
INV109405,CUST1955,6/5/2023,Clothing,7,26.6,10.7,,0,Organic,USA,185.2,16.77,9,308.16,3,183.05,,,,,,
INV106270,CUST1824,6/5/2023,Clothing,8,29.26,0,3,0,Ads,USA,256.9,12.8,11,345.14,1,246.88,,,,,,
INV101486,CUST1637,6/5/2023,Electronics,5,134.3,37.2,4,0,Social,Australia,273.4,7.53,8,215.37,5,429.23,,,,,,
INV103866,CUST1688,6/5/2023,Electronics,10,81.36,0,4,0,Organic,UK,340.5,16.32,12,331.57,4,829.92,,,,,,
INV107586,CUST1513,6/5/2023,Beauty,13,27.99,6.8,4,0,Organic,Germany,,18.57,16,441.94,4,357.7,,,,,,
INV101961,CUST1407,6/5/2023,Electronics,8,93.59,0,4,0,Referral,Canada,349.1,12.73,11,265.08,4,761.45,,,,,,
INV107919,CUST1591,6/5/2023,Home,5,53.72,38.3,4,1,Referral,USA,286.7,4.1,6,0,1,169.83,,,,,,
INV107938,CUST1219,6/5/2023,Clothing,3,23.25,0,2,1,Referral,USA,142.6,4.25,3,0,3,74,,,,,,
INV100443,CUST1543,6/5/2023,Home,3,35.99,0,4,1,Referral,USA,115.8,4.78,4,0,6,112.75,,,,,,
INV105731,CUST1382,6/5/2023,Home,6,47.42,0,5,0,Ads,Australia,184.1,9.86,8,241.57,1,294.38,,,,,,
INV101907,CUST1046,6/5/2023,Home,4,61.25,46.8,5,1,Ads,USA,239,5.13,4,0,2,135.47,,,,,,
INV108165,CUST1692,6/5/2023,Electronics,12,124.46,12.6,4,0,Referral,USA,353.1,16.9,13,370.32,3,1322.24,,,,,,
INV107484,CUST1634,6/5/2023,Clothing,8,26.4,0,5,0,Organic,USA,368.8,1.28,8,325.3,1,212.48,,,,,,
INV103187,CUST1751,6/5/2023,Electronics,6,71.65,0,3,1,Email,USA,368.2,10.53,6,0,4,440.43,,,,,,
INV108930,CUST1681,6/5/2023,Sports,10,35.93,7.9,4,0,Email,Germany,,2.27,10,368.24,1,333.19,,,,,,
INV106413,CUST1474,6/5/2023,Electronics,6,98.03,0,4,0,Organic,USA,261.1,8.69,6,186.5,2,596.87,,,,,,
INV104822,CUST1727,6/5/2023,Home,6,63.24,13.8,4,1,Email,Germany,372,15.33,8,0,6,342.41,,,,,,
INV100130,CUST1234,6/5/2023,Electronics,6,80.14,35.5,4,0,Email,Germany,139,13.83,7,318.53,2,323.97,,,,,,
INV104443,CUST1648,6/6/2023,Electronics,10,99.61,24.1,,0,Referral,Germany,388.4,9.22,11,293.85,2,765.26,,,,,,
INV106697,CUST1336,6/6/2023,Electronics,4,95.66,33.5,3,0,Ads,USA,30,15.44,5,343.63,3,269.9,,,,,,
INV102993,CUST1204,6/6/2023,Electronics,8,89.24,0,3,0,Ads,USA,230,7.91,10,265.16,1,721.83,,,,,,
INV103025,CUST1178,6/6/2023,Home,10,75.24,31.2,5,0,Email,UK,364.5,8.47,11,372.56,7,526.12,,,,,,
INV105423,CUST1678,6/6/2023,Clothing,7,46.59,51.8,5,0,Email,USA,227,12.02,7,349,3,169.21,,,,,,
INV105469,CUST1092,6/6/2023,Home,12,56.64,7.6,4,0,Referral,UK,439.7,15.71,15,226.94,3,643.73,,,,,,
INV108592,CUST1995,6/6/2023,Electronics,5,100.72,48,,1,Organic,France,291.1,3.34,5,0,3,265.21,,,,,,
INV107551,CUST1913,6/6/2023,Electronics,5,77.8,0,,1,Email,USA,124.8,9.62,5,0,5,398.62,,,,,,
INV102089,CUST1517,6/6/2023,Home,9,67.71,19.7,1,0,Referral,UK,434.7,11.84,11,148.7,2,501.18,,,,,,
INV100328,CUST1219,6/6/2023,Beauty,7,20.41,0,4,0,Ads,USA,219.9,9.32,7,336.9,2,152.19,,,,,,
INV105370,CUST1859,6/6/2023,Electronics,8,163.11,44.5,5,0,Email,Germany,153.9,4.59,8,334.82,6,728.8,,,,,,
INV103563,CUST1179,6/6/2023,Toys,7,26.69,30.5,5,0,Organic,UK,317.2,14.95,8,283.97,4,144.8,,,,,,
INV104334,CUST1315,6/6/2023,Clothing,7,19.77,7.8,3,0,Ads,USA,187.6,15.86,9,300.9,6,143.46,,,,,,
INV100063,CUST1470,6/6/2023,Clothing,5,18.43,0,3,0,nan,France,90.5,10.96,6,274.87,1,103.11,,,,,,
INV102436,CUST1078,6/6/2023,Beauty,6,32.57,36.2,5,0,Ads,USA,172.3,12.3,6,261.06,2,136.98,,,,,,
INV103850,CUST1676,6/6/2023,Sports,7,37.42,0,4,1,Email,USA,404,16.54,9,0,2,278.48,,,,,,
INV104870,CUST1149,6/6/2023,Sports,8,31.55,0,3,0,Referral,Germany,337.3,14.39,8,330.32,6,266.79,,,,,,
INV108409,CUST1761,6/6/2023,Clothing,5,24.4,17.4,,0,Social,Germany,115.2,5.69,6,166.38,1,106.46,,,,,,
INV101918,CUST1397,6/6/2023,Beauty,24,86.49,20.8,,1,Social,USA,519.9,7.05,8,0,3,1651.05,,,,,,
INV102750,CUST1511,6/6/2023,Home,2,48.09,40.7,5,1,Referral,USA,105,12.91,4,0,2,69.94,,,,,,
INV100817,CUST1074,6/6/2023,Electronics,4,89.19,0,2,1,Referral,Canada,266.3,11.93,4,0,4,368.69,,,,,,
INV102564,CUST1970,6/6/2023,Sports,8,46.52,13.4,2,0,Ads,Germany,284.6,5.23,9,387.81,4,327.52,,,,,,
INV104674,CUST1401,6/6/2023,Sports,12,33.65,0,3,0,Social,USA,441.3,11.84,13,402.59,6,415.64,,,,,,
INV108439,CUST1316,6/6/2023,Sports,35,112.68,27.9,4,0,Email,USA,381.5,10.85,7,85.35,5,2854.33,,,,,,
INV101819,CUST1179,6/6/2023,Sports,8,56.57,47.5,5,1,Social,Australia,411.2,12.57,9,0,4,250.16,,,,,,
INV107821,CUST1552,6/6/2023,Electronics,8,81.98,45.6,4,0,Ads,USA,144,4.46,9,491.47,2,361.24,,,,,,
INV101560,CUST1806,6/7/2023,Beauty,9,26.32,0,,1,Ads,USA,547.2,1.53,10,0,4,238.41,,,,,,
INV104845,CUST1296,6/7/2023,Electronics,1,70.2,0,4,1,Referral,USA,30,8.83,2,0,2,79.03,,,,,,
INV101919,CUST1464,6/7/2023,Clothing,7,34.01,26.1,4,0,Organic,Australia,237.9,5.39,11,192.93,2,181.32,,,,,,
INV106645,CUST1013,6/7/2023,Electronics,10,87.63,0,3,0,Referral,Australia,379.6,6.64,12,352.62,5,882.94,,,,,,
INV100023,CUST1616,6/7/2023,Home,10,71.35,35.7,5,0,Organic,UK,274,14.26,12,328.35,3,473.04,,,,,,
INV104460,CUST1606,6/7/2023,Clothing,9,37.23,0,4,0,Email,UK,285.2,5.58,10,440.92,8,340.65,,,,,,
INV104352,CUST1362,6/7/2023,Toys,7,22.72,0,4,0,Ads,USA,342.5,13.46,9,207.8,5,172.5,,,,,,
INV106327,CUST1529,6/7/2023,Home,10,36.02,0,4,0,Organic,France,402.9,10.23,11,353.65,2,370.43,,,,,,
INV104935,CUST1345,6/7/2023,Clothing,11,30.44,0,,0,Email,USA,427.7,4.92,14,391.1,3,339.76,,,,,,
INV100773,CUST1804,6/7/2023,Electronics,9,109.72,34.9,,0,Social,France,227.6,17.3,9,354.64,2,660.15,,,,,,
INV104007,CUST1772,6/7/2023,Beauty,32,117.2,32.5,4,0,Organic,USA,279.8,9.44,8,156.28,2,2540.96,,,,,,
INV108412,CUST1081,6/7/2023,Home,5,61.46,42.3,5,1,Email,UK,311.3,9.74,8,0,2,187.05,,,,,,
INV106592,CUST1711,6/7/2023,Home,10,95.67,39.2,4,0,Email,UK,437.8,9.91,10,236.82,3,591.58,,,,,,
INV104609,CUST1819,6/7/2023,Electronics,6,85.65,0,4,1,Email,USA,299.1,7.78,9,0,2,521.68,,,,,,
INV102740,CUST1244,6/7/2023,Electronics,11,115.46,38.7,4,0,Referral,USA,338.5,2.96,12,469.97,3,781.51,,,,,,
INV107403,CUST1305,6/7/2023,Clothing,10,31.42,8.4,3,0,Email,USA,433.8,3.72,11,305.91,2,291.53,,,,,,
INV104263,CUST1553,6/7/2023,Toys,8,16.68,0,,0,Referral,Canada,239.4,1.91,8,316.09,2,135.35,,,,,,
INV103145,CUST1590,6/7/2023,Clothing,8,31.15,13.8,4,0,Organic,Germany,331,9.62,9,137.86,1,224.43,,,,,,
INV103453,CUST1295,6/7/2023,Clothing,7,46.51,37,5,1,Organic,USA,450.6,14.92,9,0,4,220.03,,,,,,
INV108548,CUST1081,6/7/2023,Electronics,7,108.87,38.2,2,1,Social,USA,312.1,11.61,9,0,3,482.58,,,,,,
